review,rating,date,bank,source,sentiment,keywords
hojii bonsaadha,5,2025-05-22,CBE,Google Play,0.0,"['hojii', 'bonsaadha']"
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,0.43333333333333335,"['user', 'friendly', 'apps', 'easy']"
Awosome!!!,5,2025-05-22,CBE,Google Play,0.0,['awosome']
"Very good app,",5,2025-05-22,CBE,Google Play,0.9099999999999999,['good']
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,0.0,"['sync', 'problem', '2025', 'date', 'stack', '2025', 'help']"
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,0.78,"['መተግበሪያ', 'nice']"
I hate this app 😒,1,2025-05-22,CBE,Google Play,-0.8,['hate']
trustful,5,2025-05-22,CBE,Google Play,0.0,['trustful']
I like,5,2025-05-22,CBE,Google Play,0.0,[]
update issue,4,2025-05-22,CBE,Google Play,0.0,"['update', 'issue']"
its not working over safari network,1,2025-05-22,CBE,Google Play,0.0,"['working', 'safari', 'network']"
oldie,1,2025-05-22,CBE,Google Play,0.0,['oldie']
it doesn't work,1,2025-05-21,CBE,Google Play,0.0,"['doesn', 'work']"
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,0.7,"['good', 'using', 'well']"
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,0.78,"['nice', 'android', 'phone']"
Yes Yes,5,2025-05-21,CBE,Google Play,0.0,[]
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,0.0,['ከርፋፋ']
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,0.43333333333333335,"['easy', 'helpful', 'life']"
good 👍,4,2025-05-21,CBE,Google Play,0.7,['good']
the best mobile banking app,5,2025-05-21,CBE,Google Play,1.0,"['best', 'mobile', 'banking']"
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,0.395,"['useful', 'saves', 'time', 'secure']"
it's a good application 👍,5,2025-05-21,CBE,Google Play,0.7,"['good', 'application']"
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,-1.0,"['screenshot', 'reffresh', 'options', 'annoying', 'makes', 'transaction', 'delaying', 'activity']"
poor service,1,2025-05-21,CBE,Google Play,-0.4,"['poor', 'service']"
amazing,5,2025-05-20,CBE,Google Play,0.6000000000000001,['amazing']
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,0.43333333333333335,"['reliable', 'easy']"
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,-0.15000000000000002,"['annoying', 'mobile', 'banking', 'ever', 'seen']"
